source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,region_desc,zip_5,watershed_code,watershed_desc,congr_district_code,country_code,country_name,location_desc,year,freq_desc,begin_code,end_code,reference_period_desc,week_ending,load_time,Value,CV (%)
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CHLORSULFURON = 118601)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CLOPYRALID = 117403)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DICAMBA, DIMET. SALT = 29802)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DICAMBA, SODIUM SALT = 29806)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUROXYPYR 1-MHE = 128968)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,10000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MCPA, 2-ETHYLHEXYL = 30564)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,1000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MCPA, DIMETHYL. SALT = 30516)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METHANONE = 692)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METSULFURON-METHYL = 122010)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PINOXADEN = 147500)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (THIFENSULFURON = 128845)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,21000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TRIBENURON-METHYL = 128887)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (DIMETHOATE = 35001)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (TOTAL)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (ETHEPHON = 99801)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (TOTAL)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB",FERTILIZER,FERTILIZER: (NITROGEN),STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,1600000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB",FERTILIZER,FERTILIZER: (PHOSPHATE),STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,100000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB",FERTILIZER,FERTILIZER: (POTASH),STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"BARLEY - APPLICATIONS, MEASURED IN LB",FERTILIZER,FERTILIZER: (SULFUR),STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2011,ANNUAL,0,0,YEAR,,2011-05-16 15:01:48,100000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,SUGARBEETS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"SUGARBEETS - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2000,ANNUAL,0,0,YEAR,,2000-06-11 10:11:36,34000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,SUGARBEETS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"SUGARBEETS - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2000,ANNUAL,0,0,YEAR,,2000-06-11 10:11:36,35000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,SUGARBEETS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"SUGARBEETS - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CLOPYRALID = 117403)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2000,ANNUAL,0,0,YEAR,,2000-06-11 10:11:36,1000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,SUGARBEETS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"SUGARBEETS - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DESMEDIPHAM = 104801)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2000,ANNUAL,0,0,YEAR,,2000-06-11 10:11:36,2000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,SUGARBEETS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"SUGARBEETS - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (EPTC = 41401)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2000,ANNUAL,0,0,YEAR,,2000-06-11 10:11:36,9000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,SUGARBEETS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"SUGARBEETS - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ETHOFUMESATE = 110601)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2000,ANNUAL,0,0,YEAR,,2000-06-11 10:11:36,1000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,SUGARBEETS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"SUGARBEETS - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE = 417300)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2000,ANNUAL,0,0,YEAR,,2000-06-11 10:11:36,3000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,SUGARBEETS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"SUGARBEETS - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PHENMEDIPHAM = 98701)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2000,ANNUAL,0,0,YEAR,,2000-06-11 10:11:36,2000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,SUGARBEETS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"SUGARBEETS - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2000,ANNUAL,0,0,YEAR,,2000-06-11 10:11:36,23000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,SUGARBEETS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"SUGARBEETS - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TRIFLURALIN = 36101)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2000,ANNUAL,0,0,YEAR,,2000-06-11 10:11:36,2000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,SUGARBEETS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"SUGARBEETS - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ALDICARB = 98301)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2000,ANNUAL,0,0,YEAR,,2000-06-11 10:11:36,7000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,SUGARBEETS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"SUGARBEETS - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORPYRIFOS = 59101)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2000,ANNUAL,0,0,YEAR,,2000-06-11 10:11:36,3000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,SUGARBEETS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"SUGARBEETS - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (TOTAL)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2000,ANNUAL,0,0,YEAR,,2000-06-11 10:11:36,18000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,SUGARBEETS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"SUGARBEETS - APPLICATIONS, MEASURED IN LB",FERTILIZER,FERTILIZER: (NITROGEN),STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2000,ANNUAL,0,0,YEAR,,2000-06-11 10:11:36,2300000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,SUGARBEETS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"SUGARBEETS - APPLICATIONS, MEASURED IN LB",FERTILIZER,FERTILIZER: (PHOSPHATE),STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2000,ANNUAL,0,0,YEAR,,2000-06-11 10:11:36,1000000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,SUGARBEETS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"SUGARBEETS - APPLICATIONS, MEASURED IN LB",FERTILIZER,FERTILIZER: (POTASH),STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2000,ANNUAL,0,0,YEAR,,2000-06-11 10:11:36,300000.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,WHEAT,ALL CLASSES,ALL PRODUCTION PRACTICES,POST HARVEST,APPLICATIONS,LB,"WHEAT, POST HARVEST - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CARBOXIN = 90201)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2009,ANNUAL,0,0,MARKETING YEAR,,2012-01-01 00:00:00,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,WHEAT,ALL CLASSES,ALL PRODUCTION PRACTICES,POST HARVEST,APPLICATIONS,LB,"WHEAT, POST HARVEST - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (METALAXYL = 113501)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2009,ANNUAL,0,0,MARKETING YEAR,,2012-01-01 00:00:00,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,WHEAT,ALL CLASSES,ALL PRODUCTION PRACTICES,POST HARVEST,APPLICATIONS,LB,"WHEAT, POST HARVEST - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIRAM = 79801)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2009,ANNUAL,0,0,MARKETING YEAR,,2012-01-01 00:00:00,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,WHEAT,ALL CLASSES,ALL PRODUCTION PRACTICES,POST HARVEST,APPLICATIONS,LB,"WHEAT, POST HARVEST - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2009,ANNUAL,0,0,MARKETING YEAR,,2012-01-01 00:00:00,,
SURVEY,ENVIRONMENTAL,FIELD CROPS,WHEAT,ALL CLASSES,ALL PRODUCTION PRACTICES,POST HARVEST,APPLICATIONS,LB,"WHEAT, POST HARVEST - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ALUMINUM PHOSPHIDE = 66501)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2009,ANNUAL,0,0,MARKETING YEAR,,2012-01-01 00:00:00,300.0,
SURVEY,ENVIRONMENTAL,FIELD CROPS,WHEAT,ALL CLASSES,ALL PRODUCTION PRACTICES,POST HARVEST,APPLICATIONS,LB,"WHEAT, POST HARVEST - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORPYRIFOS-METHYL = 59102)",STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2009,ANNUAL,0,0,MARKETING YEAR,,2012-01-01 00:00:00,,
